de	1	Obama empfängt Netanyahu	Obama welcomes Netanyahu	Obama, Netanyahu	Obama receives Netanyahu	x     	v->pun     
en	503	Die Hälfte der Amerikaner ist jetzt mit ihrer Erklärung unzufrieden, während nur etwa ein Drittel zufrieden ist.	Half of Americans are now unhappy with their statement, while only about a third are satisfied.	Half of Americans are now dissatisfied with their statement, while only about one-third are satisfied.	Half of Americans are now dissatisfied with her explanation, while just about a third are satisfied.	a_lex_style     	x     
en	509	Zur gleichen Zeit sehen 55 Prozent der Wahlberechtigten landesweit auch Trump als nicht ehrlich und nicht vertrauenswürdig an.	At the same time, 55 percent of eligible voters nationwide also see Trump as not honest and untrustworthy.	At the same time, 55 percent of voters nationwide see also Trump as not honest and not trustworthy.	At the same time, 55 percent of registered voters nationwide don't see Trump as honest and trustworthy either.	neg     	v_order neg neg   
en	510	Clinton und Trump erhalten jedoch gute Noten bei Führung.	Clinton and Trump, however, receive good marks on leadership.	Clinton and Trump, however, get good marks for leadership.	Both Clinton and Trump, however, get good marks on leadership.	x     	prep     
en	513	Die Fehlerquote für die Stichprobe von 351 Demokratischen Wählern bei den Vorwahlen beträgt 6 Prozentpunkte.	The margin of error for the sample of 351 Democratic voters in the primaries is 6 percentage points.	The margin of error for the sample of 351 Democratic voters in the primaries is 6 percentage points.	The margin of error for the sample of 351 Democratic primary voters is 6 percentage points.	mwe     	mwe     
en	515	Ben Carson befindet sich bei der neuesten Umfrage von CBS News/New York Times dicht hinter Donald Trump	Ben Carson is in the latest poll from CBS News/New York Times close behind Donald Trump	Ben Carson is located in the latest poll from CBS News / New York Times behind Donald Trump	Ben Carson is running close behind Donald Trump in the newest CBS News/New York Times poll	phrase_order_adv     	ambig_v phrase_order_adv adv_miss   
en	518	Aber Carson schoss im gleichen Zeitraum von 6 % auf 23 %.	But Carson shot up from 6% to 23% in the same period.	But Carson shot over the same period, from 6% to 23%.	But Carson rocketed in that same period from 6% to 23%.	ambig_v     	ambig_v phrase_structure    
en	521	Der ehemalige Florida-Gouverneur Jeb Bush, der ehemalige Gouverneur von Arkansas Mike Huckabee und Florida-Senator Marco Rubio befinden sich mit 6 % auf dem dritten Platz.	Former Florida governor Jeb Bush, the former governor of Arkansas Mike Huckabee and Florida-Senator Marco Rubio are up with 6% in third place.	Former Florida Governor Jeb Bush, the former governor of Arkansas Mike Huckabee and Florida Senator Marco Rubio with 6% in the third place.	Former Florida Gov. Jeb Bush, former Arkansas Gov. Mike Huckabee and Florida Sen. Marco Rubio all tied for third place with 6%.	art_ext v_lex    	art_ext v_miss    
en	522	Die Fehlermarge bei der Stichprobe von 376 Personen von Republikanischen Wählern in dieser neuesten Umfrage ist Plus oder Minus 6 % und wurde im September durchgeführt.	The error margin at the sample of 376 people from Republican voters in this latest poll is Plus or minus 6% and was carried out in September.	The margin of error for the sample of 376 people of Republican voters in the latest poll is plus or minus 6% and was carried out in September.	The margin of error for the 376-person sample of Republican voters in this newest poll is plus-or-minus 6%, and was conducted Sept.	prep     	x     
en	524	Die jüngste Umfrage von ABC News/Washington Post zeigte auch Trump deutlich vor Carson.	The latest poll by ABC News/Washington Post also showed Trump significantly ahead of Carson.	The recent poll by ABC News / Washington Post also showed Trump well ahead of Carson.	The latest poll from ABC News/Washington Post also showed Trump significantly ahead of Carson.	prep     	prep     
en	525	Mit Blick auf einen in der letzten Woche aufsteigenden Carson fand Trump einige Seitenhiebe für den ehemaligen Neurochirurgen, selbst nachdem Carson sich dafür entschuldigte, Trumps Glauben in Frage zu stellen.	With a view to one in last week's Carson, Trump found some sideshots for the former neurosurgeon, even after Carson apologized for questioning Trumps's faith.	Facing a last week ascending Carson, Trump found some pages blows for the former neurosurgeon, even after Carson apologized for questioning Trump's faith in question.	Facing a rising Carson last week, Trump took some potshots at the retired neurosurgeon, even as Carson apologized for questioning Trump's faith.	literal v_miss diff   	literal diff    
en	526	"Wir brauchen Energie", sagte Trump am vergangenen Samstag während eines Kampagnen-Auftritts in Iowa.	"We need energy," Trump said last Saturday during a campaign appearance in Iowa.	"We need energy," said Trump last Saturday during a campaign appearance in Iowa.	"We need energy," Trump said last Saturday during a campaign stop in Iowa.	x     	x     
de	533	Das Rote Meer in Ägypten kommt auf 28 Grad.	The Red Sea in Egypt comes to 28 degrees.	The Red Sea in Egypt comes to 28 degrees.	The Red Sea in Egypt is 28 degrees.	literal     	literal     
en	535	Fast zwei Jahre, nachdem ein Student während eines schikanösen Rituals einer Studentenverbindung in Pocono Mountains, Pennsylvania, verstarb, werden Mordanklagen gegen fünf Personen eingereicht.	Nearly two years after a student died during a bullying ritual of a student compound in Pocono Mountains, Pennsylvania, murder charges are filed against five people.	Nearly two years after a student died during a fraternity ritual bullying in Pocono Mountains, Pennsylvania, to be filed murder charges against five people.	Nearly two years after a college student died during a fraternity hazing ritual in Pennsylvania's Pocono Mountains, murder charges have been filed against five people.	ambig_n v_past_cont    	n-coll v_order v_past_cont   
en	538	Mr. Deng klagte schließlich über Kopfschmerzen, dann fiel er bewusstlos um.	Mr. Deng eventually complained about headaches, then fell unconscious.	Mr. Deng finally complained about headaches, then he fell unconscious.	Mr. Deng eventually complained that his head hurt then fell unconscious.	x     	x     
en	539	Die Mitglieder der Pi-Delta-Psi-Bruderschaft riefen nicht die Notrufnummer 911 an, nachdem Deng ohnmächtig wurde und warteten angeblich eine Stunde, bevor sie ihn in ein Krankenhaus brachten, so die Polizei.	Members of the Pi-DeltaPsi Brotherhood did not call the emergency number 911 after Deng became impotent and reportedly waited an hour before they took him to a hospital, according to police.	The members of the Pi Delta Psi-Brotherhood called the emergency number 911 after Deng was powerless and allegedly waited an hour before they brought him to a hospital, according to the police.	Pi Delta Psi fraternity members did not call 911 after Deng passed out, and allegedly waited an hour before bringing him to a hospital, police say.	ambig_a     	art_ext neg ambig_v ambig_a  
en	545	Bruderschaften und ihre Mitglieder müssen zur Rechenschaft gezogen werden, und dieser Schritt von Behörden ist sehr wichtig.	Bruising and its members must be held accountable, and this move by authorities is very important.	Congregations, and its members must be held accountable, and this move by authorities is very important.	Fraternities and their members must be held accountable, and this step by authorities is an important one.	n_lex ambig_pron    	n_lex pun_ext ambig_pron   
en	549	Das Baruch College hat die Bruderschaft verboten, und die nationale Bruderschaft hat ihre Zugehörigkeit zu der Ortsgruppe widerrufen.	Baruch College has banned the Brotherhood, and the national Brotherhood has revoked its affiliation with the local group.	The Baruch College has banned the Brotherhood, and the national fraternity has revoked their affiliation with the group.	Baruch College banned the fraternity and the national fraternity revoked its affiliation with the local chapter.	v_past_cont v_past_cont    	art_ext v_past_cont v_past_cont ambig_pron comp 
en	550	Das wird passieren, wenn die Fed die Zinsen erhöht	This will happen if the Fed raises interest rates	This will happen when the Fed raises interest rates	Here's what will happen when the Fed raises interest rates	x     	x     
en	552	Das wissen wir.	We know that.	What we know.	This we know.	x     	pron     
en	554	Insbesondere bietet die Geschichte für die Wirtschaft nur geringe Anleitung zum Ablauf.	In particular, history provides little guidance for the economy.	In particular, the history of the economy offers little guidance to the process.	For the economy specifically, history offers little guide about timing.	diff     	diff     
en	562	Das bedeutet jedoch nicht, dass es keine Auswirkungen geben wird.	However, that does not mean there will be no impact.	This does not mean that there will be no impact.	That's not to say there won't be effects, however.	x     	adv_miss     
en	576	Während viele Strategen und Ökonomen glauben, dass das FOMC eine Erhöhung in dieser Sitzung genehmigen könnte, gibt der Futures-Handel nur eine Wahrscheinlichkeit von 25 Prozent an.	While many strategists and economists believe the FOMC could approve an increase in this session, futures trading gives only a 25 percent probability.	While many strategists and economists believe that the FOMC increased could approve during this session, the futures trading is only a probability of 25 percent.	While many strategists and economists believe the FOMC could approve a hike at this meeting, futures trading indicates just a 25 percent probability.	x     	phrase_structure art_ext v_lex   
en	578	Im Gegensatz dazu ist dies eine eindeutig langsame Erholung von dem, was die schlimmste Rezession in der beobachteten Phase war.	By contrast, this is a clearly slow recovery from what was the worst recession in the observed period.	In contrast, this is clearly a slow recovery from what was the worst recession in the observed period.	By contrast this has been a uniquely slow recovery from what was the worst recession in the sample period.	v_past_cont     	v_past_cont     
en	579	Der aktuelle Zyklus ist bei weitem der längste, den die Fed seit dem Ende der letzten Rezession gewartet hat; der Rekord war 35 Monate, und dies sind bisher 74 Monate.	The current cycle is by far the longest the Fed has waited since the end of the last recession; the record was 35 months, and this has been 74 months so far.	The current cycle is by far the longest, the Fed has been waiting since the end of the last recession, the record was 35 months, and there have been 74 months.	The current cycle is by far the longest the Fed has waited since the end of the last recession; the record had been 35 months, and this is 74 months and counting.	v_past_cont v_past_cont    	v_past_cont v_past_cont v_past_cont   
en	581	Der Hauptunterschied ist, dass die Wirkung bei Anleihen schneller ist als bei Aktien, wenn die ihren strategischen Kurs verändern.	The main difference is that the effect on bonds is faster than in equities if they change their strategic course.	The main difference is that the effect on bonds is faster than stocks if the change their strategic direction.	The principal difference is that the impact happens faster in bonds than stocks when the Fed changes course in policy.	x     	pron/det     
en	582	Bei Anleihen scheinen die Renditen die Richtung zu wechseln, sobald die erste Erhöhung/Senkung in dem Zyklus erfolgt.	On bonds, the returns appear to change direction as soon as the first increase/reduction takes place in the cycle.	With bond yields seem to change direction as soon as the first increase / decrease in the cycle.	For bonds, it does seem yields change direction immediately as the first hike/cut in the cycle arrives.	prep     	prep n_infl v_miss   
en	601	Er zielte auch auf die BBC Music Awards und sagte, dass sie nur The Brits imitierten	He also aimed at the BBC Music Awards and said she only imitated The Brits	He was also on the BBC Music Awards and said that they only imitated The bathrooms smelt	Also took aim at the BBC Music Awards, saying they just rip off the Brits	ambig_pron     	v_lex prep ne   
en	602	Parlaments-Kollege Damien Collins griff die Sendung The Voice an und sagte, dass dies nicht sehr originell sei.	Parliamentary colleague Damien Collins attacked the broadcast The Voice and said that this was not very original.	House-colleague Damien Collins attacked the show The Voice and said that this was not very original.	Colleague Damien Collins MP attacked The Voice, saying that too wasn't original	x     	n_lex     
