de	1	Obama receives Netanyahu	Obama empfängt Netanjahu	Obama Netanyahu empfängt	Obama empfängt Netanyahu	transliteration     	v_order       
en	578	By contrast this has been a uniquely slow recovery from what was the worst recession in the sample period.	Im Gegensatz dazu war dies eine einzigartig langsame Erholung von dem, was die schlimmste Rezession in der Stichprobe war.	Im Gegensatz dazu war dies eine besonders langsame Erholung von der schlimmsten Rezession in der Stichprobe.	Im Gegensatz dazu ist dies eine eindeutig langsame Erholung von dem, was die schlimmste Rezession in der beobachteten Phase war.	n-coll     	n-coll       
en	588	Short-term interest rates are up, the yield curve is flatter, credit spreads have widened and volatility has increased - all characteristics of the market when the Fed tightens policy.	Die kurzfristigen Zinsen sind hoch, die Ertragskurve ist flacher, die Kreditvergünstigungen haben sich vergrößert und die Volatilität hat zugenommen - alle Merkmale des Marktes, wenn die Fed die Politik verschärft.	Die kurzfristigen Zinsen sind gestiegen, die Zinsstrukturkurve wird flacher, die Risikoaufschläge sind gestiegen und die Volatilität gestiegen - alle Eigenschaften des Marktes, wenn die Fed ihre Politik verschärft.	Kurzfristige Zinsen sind gestiegen, die Ertragskurve ist flacher, Kreditspannen haben sich ausgeweitet und die Volatilität ist gestiegen - alles Merkmale des Marktes, wenn die Fed ihre Strategie verschärft.	art_ext ambig_v    	art_ext ambig_v      
en	591	"History shows that 'quality' stocks tend to outperform during the three months following an initial rate hike," Goldman Sachs analysts said in a report for clients.	"Die Geschichte zeigt, dass" Qualität "die Bestände in den drei Monaten nach einer ersten Zinserhöhung tendenziell übertreffen", sagte Goldman Sachs Analysten in einem Bericht für die Kunden.	"Die Geschichte zeigt, dass" Qualität "Aktien, während der drei Monate liegen nach einer ersten Zinserhöhung", sagte Goldman-Sachs-Analysten in einem Bericht für den Kunden.	"Die Geschichte zeigt, dass "Qualitäts-" Aktien dazu neigen, drei Monate nach einer anfänglichen Zinserhöhung überaus positiv zu reagieren," sagten Goldman Sachs-Analysten in einem Bericht für die Kunden.	n-coll_comp v/adv ambig_v v_infl  	n-coll_comp phrase_structure v_infl det_infl    
en	601	Also took aim at the BBC Music Awards, saying they just rip off the Brits	Auch das Ziel bei den BBC Music Awards, dass sie nur die Brits abreißen	Auch nahmen die BBC Music Awards, dass sie die Briten nur ausnehmen	Er zielte auch auf die BBC Music Awards und sagte, dass sie nur The Brits imitierten	diff     	diff       
en	607	The BBC Music Awards which started last year seem to be the Brits by another name.	Die BBC Music Awards, die im letzten Jahr begonnen haben, scheinen die Brits durch einen anderen Namen zu sein.	Die BBC Music Awards, die im vergangenen Jahr begann, scheinen die Briten mit einem anderen Namen.	Die BBC Music Awards, die im vergangenen Jahr starteten, scheinen The Brits nur unter einem anderen Namen zu sein.	prep     	v_infl prep v_miss     
en	618	He added that he wants the Corporation to "find a hit from our own in-house stable" next time it launches an entertainment series.	Er fügte hinzu, dass er will, dass die Corporation beim nächsten Mal "einen Hit aus unserem eigenen Stall" findet, es startet eine Entertainment-Serie.	Er fügte hinzu, dass er will, dass die Corporation "ein Hit aus unserem hauseigenen Stall" das nächste Mal startet er eine Unterhaltung.	Er fügte hinzu, er wünsche sich, dass das Unternehmen "einen Hit aus unserem hauseigenen Stall finde", wenn es das nächste Mal eine Unterhaltungsserie starte.	phrase_order_lex_adv_time     	v_miss conj_miss phrase_structure     
en	625	For over a decade virtual shopping has been booming and turning many of Britain's high streets into ghost towns.	Seit über einem Jahrzehnt hat der virtuelle Einkauf boomt und viele der hohen Straßen Großbritanniens in Geisterstädte verwandelt.	Seit mehr als einem Jahrzehnt virtuelle Shopping boomte und viele der britischen Haupteinkaufsstraßen in Geisterstädte.	Für über ein Jahrzehnt hat das virtuelle Einkaufen geboomt, und viele der Haupteinkaufsstraßen Großbritanniens haben sich in Geisterstädte verwandelt.	v_infl n-coll_comp    	v_order v_miss      
en	626	But experts say there are now signs that online sales are leveling off, after new figures showed just a seven per cent increase in the first three months of 2015.	Doch Experten sagen, es gebe jetzt Anzeichen dafür, dass der Online-Verkauf nivelliert werde, nachdem neue Zahlen in den ersten drei Monaten 2015 nur um eine sieben Prozent zugenommen haben.	Aber Experten sagen, es gibt jetzt Anzeichen dafür, dass Online-Verkäufe pendelt, nach neuen Zahlen zeigten nur sieben Prozent in den ersten drei Monaten des Jahres 2015.	Doch Experten sagen, dass es jetzt Anzeichen gibt, dass die Online-Umsätze stagnieren, nachdem neue Zahlen nur sieben Prozent in den ersten drei Monaten 2015 zeigten.	prep_ext art_ext    	conj_lex_style conj v_order     
en	627	Total spending for August presented the lowest increase in growth since records began in 2000, with just a five per cent rise on last year.	Die Gesamtausgaben für August präsentierten den niedrigsten Anstieg seit Beginn der Aufzeichnungen im Jahr 2000 mit knapp fünf Prozent Anstieg im vergangenen Jahr.	Gesamtausgaben für August präsentierte das Wachstum der niedrigste Anstieg seit Beginn der Aufzeichnungen im Jahr 2000, mit einem Anstieg von fünf Prozent im vergangenen Jahr.	Die Gesamtausgaben für August präsentierten den niedrigsten Anstieg im Wachstum seit Beginn der Aufzeichnungen im Jahr 2000 mit nur fünf Prozent Steigerung gegenüber dem Vorjahr.	prep     	v_infl art_miss prep phrase_structure art_ext adv_miss  
en	632	But now that is plateauing a bit, you might see (growth) fall away.	Aber jetzt, das ist plateauing ein bisschen, könnten Sie sehen (Wachstum) fallen weg.	Aber das ist jetzt ein bisschen plateauing, Sie sehen (Wachstum) entfallen.	Aber jetzt pendelt sich das ein, und wir werden möglicherweise erleben, dass sich das Wachstum verringert.	diff     	diff       
en	635	Last year five times the average number of shoppers flocked to their computers to snap up deals crashing a number of retailers websites.	Im vergangenen Jahr wurden fünf Mal die durchschnittliche Zahl der Käufer auf ihre Computer geschleudert, um Geschäfte zu schnuppern eine Reihe von Einzelhändlern Websites.	Fünfmal im vergangenen Jahr die durchschnittliche Zahl der Käufer in ihren Computern, bis sich einige Händler Webseiten stürzt.	Im vergangenen Jahr scharte sich fünfmal die durchschnittliche Anzahl von Käufern um ihre Computer, um ihre Schnäppchen zu machen, und einige Händler-Websites stürzten ab.	diff     	diff       
en	637	Research published by the British Retail Consortium found just over £1 in every £5 was being spent online.	Die vom British Retail Consortium veröffentlichten Forschungsergebnisse in Höhe von £1 in £5 wurden online ausgegeben.	Die Forschung des British Retail Consortium fand nur über £1 in £5 online ausgegeben wurde.	Eine Studie des British Retail Consortium fand heraus, dass von 5 £ Ausgaben etwas mehr als 1 £ online ausgegeben wurde.	diff     	diff       
en	639	At the same time, more than a quarter of people are buying clothes and shoes online, rather than using high street fashion chains.	Gleichzeitig kaufen mehr als ein Viertel der Menschen Kleidung und Schuhe online, anstatt die hohen Straßenmodeketten zu benutzen.	Zugleich mehr als ein Viertel der Menschen Kleider und Schuhe online zu kaufen, anstatt mit großen Mode-Ketten.	Zur gleichen Zeit kauft mehr als ein Viertel der Menschen Kleidung und Schuhe online anstatt in den Modeketten in den Innenstädten.	n-coll     	v_infl_order prep n-coll     
en	652	Today, King Salman said the Binladin Group should not have left the crane's arm up when it was not in use.	Heute sagte König Salman, dass die Binladin Group nicht den Arm des Krans verlassen hätte, wenn es nicht im Einsatz war.	Heute sagte König Salman die Binladin Group hätte nicht der Kran-Arm oben links, wenn es nicht in Gebrauch war.	Heute sagte König Salman, die Bin-Laden-Gruppe hätte den Arm des Krans nicht stehenlassen sollen, als er nicht benutzt wurde.	untrans sollen ambig_conj   	untrans sollen a/v n-coll ambig_conj   
en	657	The royal decree also blamed the group for not using up-to-date safety measures and failing to coordinate with meteorological officials.	Das königliche Dekret machte auch die Gruppe dafür verantwortlich, keine aktuellen Sicherheitsmaßnahmen zu nutzen und sich nicht mit meteorologischen Beamten zu koordinieren.	Das königliche Dekret beschuldigte die Gruppe auch für nicht aktuelle Sicherheitsmaßnahmen und mit meteorologischen Beamten zu koordinieren.	Das Königliche Dekret tadelte auch die Gruppe wegen nicht aktueller Sicherheitsmaßnahmen und weil sie nicht mit Meteorologen kooperiert habe.	x     	adv_order prep neg     
en	668	Resulting in 200 more Screwfix stores, aimed at tradesmen, opening	Münden in 200 weitere Screwfix Stores, zielte auf Handwerker, Eröffnung	Die 200 mehr Screwfix Filialen, Handwerker,	Das führt dazu, dass 200 weitere Screwfix-Läden, die auf Handwerker abzielen, eröffnet werden	diff     	diff       
en	669	At same time Kingfisher is closing 60 B&Q outlets across the country	Gleichzeitig schließt Kingfisher 60 B & Q-Verkaufsstellen im ganzen Land	Gleichzeitig Kingfisher schließt 60 B & Q im ganzen Land	Gleichzeitig wird Kingfisher 60 B&Q Verkaufsstellen landesweit schließen	x     	v_order n_miss      
en	678	She said there was a need to address growing demographic trends which have seen more single female households who are doing more home improvements than in the past.	Sie sagte, dass es notwendig sei, sich mit wachsenden demografischen Trends zu befassen, die mehr einzelne weibliche Haushalte gesehen haben, die mehr nach Hause gehen als in der Vergangenheit.	Sie sagte, es sei ein Bedürfnis der wachsenden demografischen Trends anzugehen, die mehr weibliche Single-Haushalte gesehen haben, die mehr Zuhauses tun als in der Vergangenheit.	Sie sagte, es sei notwendig, sich den wachsenden demographischen Trends zu stellen, die mehr weibliche Single-Haushalte aufweisen, die mehr Renovierungen vornehmen als in der Vergangenheit.	ambig_a n-coll    	literal n-coll      
en	680	We need to move more towards a balance.	Wir müssen uns mehr zu einem Gleichgewicht bewegen.	Wir müssen uns mehr auf ein Gleichgewicht.	Wir müssen dies stärker hin zu einem Gleichgewicht verschieben.	x     	prep v_miss      
en	682	Women play a big part in the decision-making process.	Frauen spielen eine große Rolle bei der Entscheidungsfindung.	Die Frauen spielen eine große Rolle im Entscheidungsprozess.	Frauen spielen eine große Rolle im Entscheidungsprozess.	prep n_lex    	art_ext       
en	687	Kingfisher posted a fall in both half-year profit and sales after the group shouldered the cost of shutting stores.	Kingfisher erzielte einen Rückgang des Halbjahresgewinns und den Umsatz, nachdem die Gruppe die Kosten für die Abschaltung von Geschäften übernommen hatte.	Kingfisher einen Rückgang sowohl Halbjahr Gewinn und Umsatz der Gruppe hat, die Kosten der Stilllegung.	Kingfisher vermeldete einen Rückgang beim Halbjahresgewinn und den Umsätzen, nachdem die Gruppe die Kosten für das Schließen der Läden schulterte.	prep     	phrase_structure v_miss v_miss     
en	688	As a result of the trend Kingfisher, which owns Screwfix and B&Q, is opening 200 new stores	Durch den Trend Kingfisher, der Screwfix und B & Q besitzt, eröffnen sich 200 neue Läden	Als Folge des Trends Kingfisher, dem Screwfix und B & Q, 200 neue Läden eröffnen	Wegen des Trends wird Kingfisher, der Screwfix und B&Q besitzt, 200 neue Filialen eröffnen.	x     	pron_rel_infl v_miss      
de	689	Officials from Aich-Dob in court for breach of trust	Beamte aus Aich-Dob vor Gericht wegen Vertrauensbruch	Beamte aus Aich-Geb vor Gericht für Untreue	Funktionäre von Aich/Dob wegen Untreue vor Gericht	x     	prep       
de	690	Two officials from the Austrian volleyball runner-up champion team Aich-Dob attended the Klagenfurt regional court on Wednesday to answer charges of breach of trust and tax evasion.	Zwei Beamte des österreichischen Volleyball-Vizemeisters Aich-Dob haben am Mittwoch das Klagenfurter Landgericht besucht, um Anklage wegen Vertrauensverletzung und Steuerhinterziehung zu verantworten.	Zwei Beamte aus dem österreichischen Volleyball-Meisterteam Aich-Geb besuchte das Landgericht Klagenfurt am Mittwoch auf Vorwürfe der Untreue und Steuerhinterziehung.	Am Landesgericht Klagenfurt haben sich am Mittwoch zwei Funktionäre des österreichischen Volleyball-Vizemeisters Aich/Dob wegen Untreue und Abgabenhinterziehung verantworten müssen.	x     	v_infl prep      
de	692	One of them had also also been charged with abuse of his position.	Einer von ihnen war auch mit Missbrauch seiner Position angeklagt worden.	Einer von ihnen hatte auch auch über den Missbrauch seiner Position.	Einer von ihnen war auch wegen Amtsmissbrauchs angeklagt gewesen.	prep     	prep v_miss      
de	693	He was legally acquitted of this charge in May.	Von dieser Anklage war er im Mai gesetzlich freigesprochen worden.	Rechtlich war er im Mai von dieser Anklage freigesprochen.	Von diesem Vorwurf ist er im Mai rechtskräftig freigesprochen worden.	x     	x       
de	694	The current case was adjourned.	Der aktuelle Fall wurde vertagt.	Der aktuelle Fall wurde unterbrochen.	Der aktuelle Prozess wurde vertagt.	ambig_n     	ambig_n       
de	697	The sports officials are also accused of financial offences.	Den Sportfunktionären werden auch Finanzdelikte vorgeworfen.	Die sportlichen Beamten sind auch Finanzdelikte vorgeworfen.	Die Sportfunktionäre sind auch wegen Finanzvergehen angeklagt.	x     	art_infl n-coll_comp      
de	699	It will be tried at a later date.	Es wird zu einem späteren Zeitpunkt versucht.	Es wird zu einem späteren Zeitpunkt versucht.	Es soll zu einem späteren Zeitpunkt verhandelt werden.	x     	x       
de	703	With his colleague and co-defendant, he had then resolved to undertake this task.	Mit seinem Kollegen und Mitangeklagten hatte er sich daraufhin entschlossen, diese Aufgabe zu übernehmen.	Mit seinem Kollegen und Co-Verteidiger hatte er dann entschlossen, diese Aufgabe zu übernehmen.	Mit seinem Kollegen und Mitangeklagten habe er dann beschlossen, diese Aufgabe zu übernehmen.	x     	n_lex pron_refl_miss      
de	704	With all the risks.	Mit allen Risiken.	Mit allen Risiken.	Mit allen Risiken.	x     	x       
de	716	"Why?" the Judge wanted to know.	"Warum?", wollte der Richter wissen.	"Warum?", wollte der Richter wissen.	"Warum?", wollte die Richterin wissen.	n_gender_src     	n_gender_src       
de	717	There was no answer to this for a long time.	Darauf gab es lange keine Antwort.	Es gab keine Antwort auf diese lange Zeit.	Darauf wusste der Befragte lange keine Antwort.	x     	literal       
de	720	The co-defendant knew about it, the official justified himself.	Der Mitangeklagte habe davon gewusst, rechtfertigte sich der Beamte selbst.	Der Angeklagte wusste davon, selbst die offizielle gerechtfertigt.	Der Mitangeklagte sei informiert gewesen, rechtfertigte sich der Funktionär.	pron_refl_ext     	phrase_structure       
de	725	"Am I a legal representative?" he asked.	"Bin ich ein Rechtsvertreter?", fragte er.	"Ich bin ein gesetzlicher Vertreter?", fragte er.	"Bin ich ein Rechtsvertreter?", fragte er.	x     	question_order       
de	730	The second defendant had also obtained a mileage allowance.	Der zweite Angeklagte hatte zudem ein Kilometergeld erhalten.	Der zweite Angeklagte hatte auch eine Kilometerpauschale erhalten.	Kilometergeld hatte auch der zweite Angeklagte bezogen.	ambig_adv     	x       
de	739	The reduction of 55,000 jobs which has been taking place for three years is not yet completed.	Der Abbau von 55.000 Arbeitsplätzen, die seit drei Jahren stattfindet, ist noch nicht abgeschlossen.	Die Reduzierung der 55.000 Arbeitsplätze, die bereits seit drei Jahren stattfindet, ist noch nicht abgeschlossen.	Der seit drei Jahren laufende Abbau von 55.000 Jobs ist noch nicht abgeschlossen.	x     	n_lex_style       
de	744	Repeatedly disappointing sales of PCs as well as a slow demand from business customers for their services have recently afflicted the world's second-largest PC manufacturer after Lenovo.	Immer wieder enttäuschende Verkäufe von PCs sowie eine langsame Nachfrage von Geschäftskunden für ihre Dienste haben zuletzt den weltweit zweitgrößten PC-Hersteller nach Lenovo belastet.	Immer wieder enttäuschende Verkäufe von PCs sowie eine schleppende Nachfrage von Geschäftskunden für ihre Dienste haben kürzlich die weltweit zweitgrößte PC-Hersteller Lenovo nach.	Ein erneut enttäuschender PC-Absatz sowie eine schwächere Nachfrage von Firmenkunden nach seinen Dienstleistungen setzten dem weltweit zweitgrößten PC-Hersteller nach Lenovo zuletzt zu.	ambig_a prep    	ambig_a art_infl v_miss     
de	745	In the third fiscal quarter to the end of July, sales of PCs and printers fell by 11.5 percent.	Im dritten Geschäftsquartal bis Ende Juli sank der Umsatz von PCs und Druckern um 11,5 Prozent.	Im dritten Geschäftsjahresquartal bis Ende Juli, der Verkauf von PCs und Druckern um 11,5 Prozent.	Im dritten Geschäftsquartal zu Ende Juli ging der Absatz von PC und Druckern um 11,5 Prozent zurück.	x     	comp v->pun      
de	746	Revenue dropped by eight percent to just under $25.4 billion.	Die Einnahmen legten um acht Prozent auf knapp 25,4 Milliarden Dollar zu.	Der Umsatz fiel um acht Prozent auf knapp 25,4 Milliarden Dollar.	Der Umsatz fiel um 8 Prozent auf knapp 25,4 Mrd. Dollar.	v_lex     	x       
de	747	This means profits have dropped in 15 out of 16 quarters.	Das bedeutet, dass die Gewinne in 15 von 16 Quartalen zurückgegangen sind.	Das bedeutet, dass die Gewinne sind in 15 von 16 Seiten.	Damit gingen die Erlöse in 15 von 16 Quartalen zurück.	x     	n_lex v_miss      
de	752	The majority of people, however, are opposed to direct involvement of German soldiers in combat operations in Iraq: 54 percent were against it, 35 percent have expressed themselves in favour.	Die Mehrheit der Menschen ist aber gegen eine direkte Beteiligung deutscher Soldaten an Kampfhandlungen im Irak: 54 Prozent waren dagegen, 35 Prozent haben sich dafür ausgesprochen.	Die meisten Menschen sind jedoch gegen eine direkte Beteiligung deutscher Soldaten im Kampfeinsatz im Irak: 54 Prozent waren dagegen, 35 Prozent haben sich dafür ausgesprochen.	Eine direkte Beteiligung deutscher Soldaten an Kampfhandlungen im Irak würde aber überwiegend auf Ablehnung stoßen: 54 Prozent sprachen sich dagegen aus, 35 Prozent zeigten sich zustimmend.	literal     	x       
de	758	At the centre of the exhibition until 27 September are interlinked, self driving cars as well as electro-mobility.	Im Zentrum der Ausstellung bis zum 27. September stehen miteinander verbundene, selbstfahrende Autos sowie Elektromobilität.	Im Zentrum der Ausstellung bis zum 27. September sind miteinander verknüpft, die Autos sowie Elektromobilität.	Im Mittelpunkt der Messe stehen bis zum 27. September vernetzte, selbstfahrende Autos sowie die Elektromobilität.	n_lex_style v_order    	n_lex_style v_lex n-coll     
de	765	He reported by telephone:	Er berichtete telefonisch:	Er berichtete per Telefon:	Er berichtete telefonisch:	x     	x       
de	772	This caused the group to break up.	Das veranlasste die Gruppe zum Aufbrechen.	Dies führte die Gruppe zu zerschlagen.	Damit wurde die Gruppe aufgelöst.	literal     	literal       
de	774	A pregnant and obviously injured woman has been carried away from the area.	Eine schwangere und offensichtlich verletzte Frau ist von der Fläche weggetragen worden.	Eine schwangere und offensichtlich verletzte Frau wurde von der Gegend.	Eine schwangere und offenbar verletzte Frau wurde aus der Zone weggetragen.	ambig_adv ambig_n    	ambig_adv v_miss      
de	777	The press spokesman for the Serbian police also sustained injuries from the use of tear gas and pepper spray.	Der Pressesprecher der serbischen Polizei zog sich ebenfalls Verletzungen aus dem Einsatz von Tränengas und Pfefferspray zu.	Der Pressesprecher für die serbische Polizei auch anhaltender Verletzungen aus dem Einsatz von Tränengas und Pfeffer-Spray.	Auch die Pressesprecher der serbischen Polizei erlitten Verletzungen durch den Einsatz von Tränengas und Pfefferspray.	prep     	literal prep v_infl     
en	778	Decision time on interest rates for US Federal Reserve	Entscheidung über die Zinsen für die US-Notenbank	Der Moment der Entscheidung über die Zinsen für US-Notenbank	Zeit der Entscheidung über Zinssätze für die US-Notenbank	n-coll     	n-coll art_miss      
en	781	It's a historical event because it's been seven years since the Fed cut rates to zero.	Es ist ein historisches Ereignis, weil es sieben Jahre her ist, seit die Fed die Zinsen auf null gesenkt hat.	Es ist ein historisches Ereignis, denn es ist schon sieben Jahre her, daß die Fed die Zinsen auf Null zu senken.	Es ist ein historisches Ereignis, weil es sieben Jahre her ist, seit die Fed Zinsen auf NULL setzte.	x     	conj v_infl      
en	784	However the Fed cannot ignore the less rosy global outlook.	Allerdings kann die Fed die weniger rosigen globalen Aussichten nicht ignorieren.	Doch die Fed kann die globale Perspektive weniger rosig ignorieren.	Jedoch kann die Fed den weniger rosigen Ausblick auf globale Verhältnisse nicht ignorieren.	x     	phrase_structure       
en	785	It has warned markets to be ready for a hike but indications are they also believe the odds are against such a move.	Sie hat die Märkte gewarnt, für eine Wanderung bereit zu sein, aber sie glauben auch, dass die Chancen gegen einen solchen Schritt sind.	Er hat davor gewarnt, die Märkte auf eine Zinserhöhung vorbereitet zu sein, aber sie deutet auch die Chancen gegen einen solchen Schritt.	Sie hat die Märkte gewarnt, sich auf eine Erhöhung einzustellen, aber die Anzeichen deuten darauf hin, dass die Chancen gegen einen solchen Schritt gut sind.	ambig_n     	pron_sie phrase_structure v_lex v_miss    
en	790	Monday and said he had shot and killed someone.	Montag und sagte, er habe jemanden erschossen und getötet.	Montag und sagte, er habe jemanden erschossen und getötet.	und sagte, er habe auf jemand geschossen und jemand getötet.	x     	x       
en	791	Lamb told the dispatcher that police needed to send officers over to his home.	Lamm sagte dem Dispatcher, dass die Polizei brauchte, um die Beamten in seine Heimat zu schicken.	Lamb sagte dem Absender, dass die Polizei Offiziere schicken musste, um seiner Heimat.	Lamb sagte dem Mitarbeiter der Notrufzentrale, dass die Polizei Polizisten zu seinem Zuhause schicken müsse.	ne_trans um-zu prep   	phrase_order_adv prep      
en	793	Police asked the caller his name, but he didn't give it.	Die Polizei fragte den Anrufer seinen Namen, aber er habe es nicht gegeben.	Die Polizei bat den Anrufer seinen Namen, aber er wollte es nicht.	Die Polizei fragte den Anrufer nach seinem Namen, aber er gab ihn nicht.	prep_miss     	ambig_v prep_miss v_miss     
en	794	Lamb did not provide an explanation for the shooting.	Lamm hatte keine Erklärung für das Schießen parat.	Lamb nicht eine Erklärung für die Schüsse.	Lamb gab keine Erklärung für seine Schüsse.	ne_trans a_ext    	v_miss neg      
en	796	I loved Amy and she is the only person who ever loved me.	Ich liebte Amy und sie ist die einzige Person, die mich jemals geliebt hat.	Ich liebte Amy und sie ist die einzige Person, die mich jemals geliebt hat.	Ich liebte Amy, und sie ist die einzige Frau, die mich jemals liebte".	x     	x       
en	803	He said Prentiss and her daughter were "absolutely best friends."	Er sagte, Prentiss und ihre Tochter seien "absolut beste Freunde".	Er sagte Prentiss und ihre Tochter seien "absolut beste Freunde".	Er sagte, dass Prentiss ihre Tochter "absolut beste Freunde" waren.	v_infl     	pun_miss v_infl      
en	804	Prentiss worked an online job from her home, according to Linsday Knowles, identified as a close friend of Prentiss by the Sun Herald.	Prentiss arbeitete einen Online-Job aus ihrer Heimat, so Linsday Knowles, der als enger Freund von Prentiss durch den "Sun Herald" ermittelt wurde.	Prentiss hat einen Online-Job von zu Hause nach Linsday Slingpumps, als ein enger Freund von Prentiss vom Sun Herald.	Prentiss arbeitete online von zu Hause, nach Aussage von Linsday Knowles, die vom Sun Herald als eine enge Freundin von Prentiss identifiziert wurde.	literal ambig_n    	ne_trans_inc prep v_miss     
en	813	The actor has also reportedly struggled with drugs, and in 2008, he was busted for drug possession.	Der Schauspieler hat den Angaben zufolge auch mit Drogen zu kämpfen, und 2008 wurde er wegen Drogenbesitzes verbuht.	Außerdem hat der Schauspieler angeblich mit Drogen kämpfte, und im Jahr 2008 wurde er wegen Drogenbesitz geschnappt.	Der Schauspieler hat auch angeblich mit Drogen zu kämpfen, und im Jahr 2008 wurde er wegen Drogenbesitzes verurteilt.	adv_lex     	v_infl n_infl      
en	814	All that stuff sure does take a toll.	Alles, was das Zeug hält, macht eine Maut.	All das Zeug, eine Maut.	All das fordert sicher seinen Tribut.	diff     	diff       
de	815	Eurowings: Lufthansa reconstructing group	Eurowings: Lufthansa-Neubaugruppe	Eurowings: Lufthansa baut Gruppe	Eurowings: Lufthansa baut den Konzern um	n/v     	v_pref_miss ambig_n      
de	816	Lufthansa is planning a major reconstruction of its group.	Die Lufthansa plant einen großen Umbau ihrer Gruppe.	Die Lufthansa plant eine umfangreiche Rekonstruktion seiner Gruppe.	Die Lufthansa plant einen großen Konzernumbau.	ambig_n     	ambig_n       
de	817	The Lufthansa group will save half a billion Euros per year through improvements to the organisation alone.	Der Lufthansa-Konzern spart allein durch Verbesserungen der Organisation eine halbe Milliarde Euro pro Jahr.	Die Lufthansa-Gruppe spart eine halbe Milliarde Euro pro Jahr allein durch Verbesserungen in der Organisation.	Eine halbe Milliarde Euro im Jahr will der Lufthansa-Konzern allein mit einer besseren Organisation sparen.	v_infl v_infl    	ambig_n v_infl      
de	818	Reconstruction of the group will cost 150 of the approximately 1,000 managers worldwide their jobs.	Der Umbau der Gruppe kostet 150 der rund 1000 Manager weltweit ihre Arbeitsplätze.	Umbau des Konzerns kostet 150 der weltweit rund 1.000 Mitarbeiter ihren Arbeitsplatz.	150 der weltweit rund 1000 Führungskräfte wird der Konzernumbau den Arbeitsplatz kosten.	ambig_n v_infl diff   	art_miss v_infl diff     
de	821	The goal of the realignment is a contribution to profits of around €500 million per year from cost and revenue synergies, the airline announced on Wednesday.	Das Ziel der Neuausrichtung sei ein Beitrag zum Gewinn von rund 500 Millionen Euro pro Jahr aus Kosten- und Umsatz-Synergien, teilte die Airline am Mittwoch mit.	Das Ziel der Neuausrichtung ist ein Beitrag zum Gewinn von etwa 500 Millionen Euro pro Jahr an Kosten und Einnahmen Synergien, die Fluggesellschaft am Mittwoch mitteilte.	Ziel der Neuausrichtung sei ein Ergebnisbeitrag von rund 500 Millionen Euro pro Jahr aus Kosten- und Erlössynergien, teilte die Fluggesellschaft am Mittwoch mit.	art_ext     	art_ext prep n-coll_comp v_order    
de	826	Up to now the organisation of the 120,000 employees has been extremely complex.	Bisher war die Organisation der 120.000 Mitarbeiter äußerst komplex.	Die Organisation der 120.000 Mitarbeiter war äußerst komplex.	Bislang war die Organisation des 120 000 Mitarbeiter starken Unternehmens komplex.	art_infl     	art_infl mwe      
de	828	New negotiations with pilots	Neue Verhandlungen mit Piloten	Neue Verhandlungen mit Piloten	Neue Verhandlungen mit den Piloten	art_miss     	art_miss       
de	830	This was announced by the union.	Das gab die Gewerkschaft bekannt.	Dies wurde von der Gewerkschaft angekündigt.	Das teilte die Gewerkschaft mit.	x     	x       
en	843	Van Gaal said: "He has a double leg fracture and is in hospital."	Van Gaal sagte: "Er hat eine doppelte Beinfraktur und ist im Krankenhaus".	Van Gaal sagte: "Er hat einen doppelten Bein-Fraktur und liegt im Krankenhaus".	Van Gaal sagte: "Er hat eine doppelte Beinfraktur und liegt im Krankenhaus."	x     	art_infl a_infl      
en	847	He was crying.	Er weinte.	Er weinte.	Er weinte.	x     	x       
en	849	I hope he can play again this season.	Ich hoffe, dass er in dieser Saison wieder spielen kann.	Ich hoffe, dass er diese Saison wieder spielen kann.	Ich hoffe, dass er diese Saison wieder spielen kann.	prep_ext     	x       
en	856	Related: Manchester United suffer Luke Shaw blow in defeat at PSV	Beziehung: Manchester United erleidet Luke Shaw Schlag bei Niederlage bei PSV	Related: Manchester United leidet Luke Shaw Schlag in der Niederlage bei PSV	Hierauf bezogen: Manchester United erleidet den Verlust von Luke Shaw bei der Niederlage beim PSV	n/a n-coll art_miss   	untrans v_pref_miss n-coll prep    
en	857	The England defender will have an added incentive to recover with the European Championship in France next June.	Der Englands Verteidiger wird einen zusätzlichen Anreiz haben, sich im kommenden Juni mit der Europameisterschaft in Frankreich zu erholen.	Der Verteidiger wird ein zusätzlicher Anreiz, bei der Europameisterschaft im Juni in Frankreich.	Der England-Verteidiger hat mit der Europameisterschaft in Frankreich einen zusätzlichen Anreiz, sich bis zum kommenden Juni zu erholen.	n-coll diff    	n-coll v_miss diff     
en	860	It is never the intention of our players to injure an opponent.	Es ist nie die Absicht unserer Spieler, einen Gegner zu verletzen.	Es ist niemals die Absicht unserer Spieler einen Gegner zu verletzen.	Es ist nie die Absicht unserer Spieler, einen Gegner zu verletzen.	x     	pun_miss       
en	861	Moreno suffered a broken leg when playing for Mexico against Van Gaal's Holland at the 2014 World Cup.	Moreno erlitt beim Spielen für Mexiko gegen van Gaal Holland bei der WM 2014 ein gebrochenes Bein.	Moreno hatte ein gebrochenes Bein, wenn Sie für Mexiko gegen Van Gaal in Holland bei der Weltmeisterschaft 2014.	Moreno erlitt einen Beinbruch, als Mexiko gegen Van Gaals Holland-Mannschaft bei der WM 2014 spielte.	phrase_structure     	conj pron_pers v_miss n-coll    
